"phenotype","symptom","ICD10Code"
"Neuropsychiatric","brain fog","F03.91"
"Neuropsychiatric","sleep disturbance","G47.8"
"Cardiopulmonary","major cardiac dysfunction","I50.813"
"Neuropsychiatric","depression","F33.0"
"Neuropsychiatric","general pain, fatigue, malaise","G89.29"
"Neuropsychiatric","sleep disturbance","G47.421"
"Cardiopulmonary","major cardiac dysfunction","I50.814"
"Cardiopulmonary","vascular disease","I70.263"
"Neuropsychiatric","general pain, fatigue, malaise","G44.091"
"Cardiopulmonary","vascular disease","I70.293"
"Cardiopulmonary","major cardiac dysfunction","I21.19"
"Neuropsychiatric","sensory changes","H81.399"
"Neuropsychiatric","general pain, fatigue, malaise","G43.411"
"Neuropsychiatric","sleep disturbance","G47.09"
"Cardiopulmonary","abnormal heart rate","R00.1"
"Cardiopulmonary","abnormal breathing","R06.82"
"Cardiopulmonary","abnormal breathing","R06.89"
"Cardiopulmonary","abnormal breathing","R06.4"
"Cardiopulmonary","abnormal breathing","G47.32"
"Neuropsychiatric","depression","F32.8"
"Neuropsychiatric","general pain, fatigue, malaise","G43.C0"
"Cardiopulmonary","cardiac inflammation","I42.9"
"Digestive","nausea","R10.30"
"Cardiopulmonary","abnormal heart rate","R00.9"
"Neuropsychiatric","general pain, fatigue, malaise","G43.511"
"Neuropsychiatric","general pain, fatigue, malaise","G44.099"
"Neuropsychiatric","general pain, fatigue, malaise","G44.051"
"Neuropsychiatric","general pain, fatigue, malaise","G44.211"
"Neuropsychiatric","sleep disturbance","G47.37"
"Cardiopulmonary","vascular disease","I70.292"
"Neuropsychiatric","brain fog","R41.841"
"Cardiopulmonary","abnormal heart rate","R00.0"
